level,word,meaning,category
英検4級,able,できる,初級重要語
英検4級,above,上に,初級重要語
英検4級,across,横切って,初級重要語
英検4級,afraid,恐れて,初級重要語
英検4級,again,再び,副詞
英検4級,ago,前に,初級重要語
英検4級,airplane,飛行機,初級重要語
英検4級,airport,空港,初級重要語
英検4級,alone,ひとりで,副詞
英検4級,along,沿って,初級重要語
英検4級,already,すでに,初級重要語
英検4級,also,また,初級重要語
英検4級,another,別の,初級重要語
英検4級,answer,答え,初級重要語
英検4級,anything,何でも,初級重要語
英検4級,arrive,到着する,初級重要語
英検4級,ask,尋ねる,動詞
英検4級,aunt,おば,初級重要語
英検4級,autumn,秋,初級重要語
英検4級,bakery,パン屋,初級重要語
英検4級,bank,銀行,初級重要語
英検4級,bathroom,浴室,初級重要語
英検4級,beach,浜辺,初級重要語
英検4級,because,なぜなら,初級重要語
英検4級,become,なる,初級重要語
英検4級,believe,信じる,初級重要語
英検4級,between,間に,初級重要語
英検4級,bicycle,自転車,初級重要語
英検4級,borrow,借りる,初級重要語
英検4級,bottle,びん,初級重要語
英検4級,bridge,橋,初級重要語
英検4級,bring,持ってくる,初級重要語
英検4級,build,建てる,動詞
英検4級,building,建物,初級重要語
英検4級,business,仕事,初級重要語
英検4級,careful,注意深い,初級重要語
英検4級,carefully,注意深く,副詞
英検4級,carry,運ぶ,初級重要語
英検4級,catch,捕まえる,初級重要語
英検4級,change,変える,初級重要語
英検4級,cheap,安い,初級重要語
英検4級,child,子ども,名詞
英検4級,children,子どもたち,名詞
英検4級,choose,選ぶ,初級重要語
英検4級,city,市,初級重要語
英検4級,clean,きれいな,形容詞
英検4級,climb,登る,初級重要語
英検4級,clothes,服,初級重要語
英検4級,cloud,雲,天気
英検4級,coffee,コーヒー,初級重要語
英検4級,collect,集める,初級重要語
英検4級,concert,コンサート,初級重要語
英検4級,corner,角,初級重要語
英検4級,country,国,初級重要語
英検4級,cousin,いとこ,初級重要語
英検4級,culture,文化,初級重要語
英検4級,dangerous,危険な,初級重要語
英検4級,date,日付,時間
英検4級,daughter,娘,初級重要語
英検4級,decide,決める,動詞
英検4級,delicious,おいしい,初級重要語
英検4級,dentist,歯医者,初級重要語
英検4級,dictionary,辞書,初級重要語
英検4級,different,違った,初級重要語
英検4級,difficult,難しい,初級重要語
英検4級,dirty,汚い,形容詞
英検4級,doctor,医者,職業
英検4級,driver,運転手,職業
英検4級,during,間に,初級重要語
英検4級,each,それぞれ,初級重要語
英検4級,early,早い,初級重要語
英検4級,easy,簡単な,初級重要語
英検4級,email,メール,名詞
英検4級,empty,空の,形容詞
英検4級,enjoy,楽しむ,動詞
英検4級,enough,十分な,初級重要語
英検4級,everyone,みんな,初級重要語
英検4級,everything,すべて,初級重要語
英検4級,excited,わくわくした,初級重要語
英検4級,expensive,高価な,初級重要語
英検4級,farmer,農家,職業
英検4級,festival,祭り,初級重要語
英検4級,field,野原,自然
英検4級,finish,終える,初級重要語
英検4級,forest,森,初級重要語
英検4級,forget,忘れる,初級重要語
英検4級,full,いっぱいの,形容詞
英検4級,future,未来,初級重要語
英検4級,garden,庭,初級重要語
英検4級,give,与える,初級重要語
英検4級,grandfather,祖父,初級重要語
英検4級,grandmother,祖母,初級重要語
英検4級,grow,育つ,初級重要語
英検4級,guest,客,初級重要語
英検4級,guide,案内する,初級重要語
英検4級,happen,起こる,初級重要語
英検4級,health,健康,初級重要語
英検4級,hear,聞こえる,初級重要語
英検4級,heavy,重い,形容詞
英検4級,history,歴史,学校
英検4級,holiday,休日,初級重要語
英検4級,homework,宿題,学校
英検4級,hope,望む,動詞
英検4級,hospital,病院,初級重要語
英検4級,hotel,ホテル,場所
英検4級,hour,時間,時間
英検4級,however,しかしながら,初級重要語
英検4級,hungry,空腹の,形容詞
英検4級,idea,考え,名詞
英検4級,important,重要な,初級重要語
英検4級,interesting,おもしろい,初級重要語
英検4級,invite,招待する,初級重要語
英検4級,island,島,初級重要語
英検4級,join,参加する,動詞
英検4級,kind,親切な,形容詞
英検4級,lake,湖,自然
英検4級,language,言語,初級重要語
英検4級,later,あとで,副詞
英検4級,learn,学ぶ,動詞
英検4級,leave,去る,動詞
英検4級,letter,手紙,名詞
英検4級,library,図書館,場所
英検4級,light,軽い,形容詞
英検4級,local,地元の,初級重要語
英検4級,lose,負ける,動詞
英検4級,magazine,雑誌,初級重要語
英検4級,maybe,たぶん,初級重要語
英検4級,medicine,薬,初級重要語
英検4級,meet,会う,動詞
英検4級,message,伝言,初級重要語
英検4級,minute,分,時間
英検4級,mountain,山,自然
英検4級,move,動く,動詞
英検4級,museum,博物館,場所
英検4級,need,必要とする,動詞
英検4級,neighbor,近所の人,初級重要語
英検4級,never,決してない,副詞
英検4級,news,ニュース,名詞
英検4級,newspaper,新聞,初級重要語
英検4級,nurse,看護師,職業
英検4級,often,しばしば,初級重要語
英検4級,outside,外側に,初級重要語
英検4級,parent,親,初級重要語
英検4級,party,パーティー,初級重要語
英検4級,pay,支払う,動詞
英検4級,people,人々,名詞
英検4級,person,人,名詞
英検4級,place,場所,初級重要語
英検4級,plan,計画,名詞
英検4級,player,選手,職業
英検4級,popular,人気のある,初級重要語
英検4級,practice,練習する,初級重要語
英検4級,problem,問題,初級重要語
英検4級,question,質問,初級重要語
英検4級,quickly,すばやく,初級重要語
英検4級,ready,準備ができた,形容詞
英検4級,reason,理由,名詞
英検4級,remember,覚えている,初級重要語
英検4級,restaurant,レストラン,場所
英検4級,return,戻る,初級重要語
英検4級,river,川,自然
英検4級,road,道路,場所
英検4級,same,同じ,形容詞
英検4級,science,科学,学校
英検4級,sea,海,自然
英検4級,season,季節,初級重要語
英検4級,sell,売る,動詞
英検4級,send,送る,動詞
英検4級,show,見せる,動詞
英検4級,sick,病気の,形容詞
英検4級,singer,歌手,職業
英検4級,sky,空,自然
英検4級,slowly,ゆっくり,副詞
英検4級,sometimes,時々,副詞
英検4級,son,息子,家族
英検4級,soon,まもなく,副詞
英検4級,special,特別な,初級重要語
英検4級,start,始める,動詞
英検4級,story,物語,名詞
英検4級,street,通り,場所
英検4級,strong,強い,形容詞
英検4級,suddenly,突然,初級重要語
英検4級,surprised,驚いた,形容詞
英検4級,take,持っていく,動詞
英検4級,teach,教える,動詞
英検4級,tell,話す,動詞
英検4級,test,テスト,学校
英検4級,thing,物,名詞
英検4級,think,思う,動詞
英検4級,thirsty,のどが渇いた,形容詞
英検4級,time,時間,時間
英検4級,tired,疲れた,形容詞
英検4級,together,いっしょに,初級重要語
英検4級,town,町,場所
英検4級,travel,旅行する,初級重要語
英検4級,try,試す,動詞
英検4級,turn,曲がる,動詞
英検4級,use,使う,動詞
英検4級,usually,たいてい,副詞
英検4級,vacation,休暇,初級重要語
英検4級,village,村,場所
英検4級,visit,訪れる,動詞
英検4級,wait,待つ,動詞
英検4級,way,方法,名詞
英検4級,weak,弱い,形容詞
英検4級,weather,天気,初級重要語
英検4級,weekend,週末,初級重要語
英検4級,win,勝つ,動詞
英検4級,wind,風,天気
英検4級,without,なしで,初級重要語
英検4級,wonderful,すばらしい,初級重要語
英検4級,worker,働く人,職業
英検4級,world,世界,場所
英検4級,young,若い,形容詞
英検3級,accident,事故,中級重要語
英検3級,achieve,達成する,動作
英検3級,activity,活動,中級重要語
英検3級,adult,大人,人
英検3級,advice,助言,中級重要語
英検3級,against,反対して,前置詞
英検3級,agree,同意する,中級重要語
英検3級,airport,空港,旅行
英検3級,allow,許す,動作
英検3級,almost,ほとんど,中級重要語
英検3級,alone,一人で,状態
英検3級,although,だけれども,中級重要語
英検3級,amazing,すばらしい,形容詞
英検3級,among,の間で,中級重要語
英検3級,amount,量,数量
英検3級,appear,現れる,中級重要語
英検3級,area,地域,中級重要語
英検3級,article,記事,情報
英検3級,artist,芸術家,中級重要語
英検3級,attention,注意,中級重要語
英検3級,available,利用できる,形容詞
英検3級,avoid,避ける,中級重要語
英検3級,basic,基本的な,中級重要語
英検3級,battle,戦い,歴史
英検3級,belong,属する,中級重要語
英検3級,beyond,越えて,前置詞
英検3級,billion,十億,数量
英検3級,borrow,借りる,生活
英検3級,brain,脳,中級重要語
英検3級,bright,明るい,形容詞
英検3級,calendar,カレンダー,生活
英検3級,camera,カメラ,技術
英検3級,camp,キャンプ,余暇
英検3級,captain,主将,スポーツ
英検3級,careful,注意深い,形容詞
英検3級,castle,城,歴史
英検3級,cause,原因,中級重要語
英検3級,celebrate,祝う,文化
英検3級,century,世紀,歴史
英検3級,challenge,挑戦,生活
英検3級,chance,機会,中級重要語
英検3級,character,登場人物,中級重要語
英検3級,choice,選択,中級重要語
英検3級,climate,気候,自然
英検3級,collect,集める,動作
英検3級,college,大学,学校
英検3級,comfortable,快適な,形容詞
英検3級,common,よくある,形容詞
英検3級,communicate,伝え合う,社会
英検3級,community,地域社会,中級重要語
英検3級,compare,比べる,中級重要語
英検3級,competition,競争,中級重要語
英検3級,complete,完成した,中級重要語
英検3級,condition,状態,中級重要語
英検3級,confident,自信のある,中級重要語
英検3級,connect,つなぐ,動作
英検3級,continue,続ける,中級重要語
英検3級,control,制御する,中級重要語
英検3級,conversation,会話,中級重要語
英検3級,cost,費用,中級重要語
英検3級,courage,勇気,中級重要語
英検3級,create,作り出す,中級重要語
英検3級,creative,創造的な,中級重要語
英検3級,culture,文化,文化
英検3級,customer,客,中級重要語
英検3級,daily,毎日の,中級重要語
英検3級,danger,危険,安全
英検3級,decide,決める,動作
英検3級,decision,決定,中級重要語
英検3級,degree,程度,数量
英検3級,deliver,配達する,仕事
英検3級,dentist,歯医者,健康
英検3級,describe,説明する,中級重要語
英検3級,design,設計する,中級重要語
英検3級,develop,発達する,中級重要語
英検3級,difference,違い,中級重要語
英検3級,direction,方向,中級重要語
英検3級,discover,発見する,中級重要語
英検3級,discussion,議論,中級重要語
英検3級,disease,病気,中級重要語
英検3級,distance,距離,中級重要語
英検3級,divide,分ける,動作
英検3級,earthquake,地震,自然
英検3級,education,教育,中級重要語
英検3級,effect,影響,中級重要語
英検3級,effort,努力,中級重要語
英検3級,elderly,年配の,人
英検3級,electric,電気の,技術
英検3級,energy,エネルギー,中級重要語
英検3級,engine,エンジン,技術
英検3級,environment,環境,中級重要語
英検3級,especially,特に,中級重要語
英検3級,event,出来事,中級重要語
英検3級,exactly,正確に,副詞
英検3級,example,例,中級重要語
英検3級,excellent,すばらしい,中級重要語
英検3級,exchange,交換する,動作
英検3級,experience,経験,中級重要語
英検3級,experiment,実験,科学
英検3級,explain,説明する,中級重要語
英検3級,factory,工場,仕事
英検3級,fair,公平な,形容詞
英検3級,flight,飛行,旅行
英検3級,foreign,外国の,中級重要語
英検3級,forward,前方へ,副詞
英検3級,freedom,自由,中級重要語
英検3級,friendship,友情,人間関係
英検3級,general,一般的な,中級重要語
英検3級,generation,世代,社会
英検3級,goal,目標,中級重要語
英検3級,government,政府,中級重要語
英検3級,graduate,卒業する,学校
英検3級,habit,習慣,中級重要語
英検3級,harbor,港,場所
英検3級,harmful,有害な,中級重要語
英検3級,healthy,健康な,中級重要語
英検3級,history,歴史,歴史
英検3級,honest,正直な,性格
英検3級,however,しかしながら,接続詞
英検3級,human,人間,中級重要語
英検3級,imagine,想像する,中級重要語
英検3級,improve,改善する,中級重要語
英検3級,include,含む,中級重要語
英検3級,increase,増える,中級重要語
英検3級,information,情報,中級重要語
英検3級,insect,昆虫,自然
英検3級,instead,代わりに,中級重要語
英検3級,interest,関心,中級重要語
英検3級,international,国際的な,中級重要語
英検3級,interview,面接,中級重要語
英検3級,introduce,紹介する,中級重要語
英検3級,invent,発明する,中級重要語
英検3級,journey,旅,旅行
英検3級,knowledge,知識,中級重要語
英検3級,language,言語,学習
英検3級,laugh,笑う,感情
英検3級,law,法律,社会
英検3級,leader,指導者,人
英検3級,local,地元の,社会
英検3級,magazine,雑誌,情報
英検3級,manage,何とかする,動作
英検3級,meaning,意味,学習
英検3級,medicine,薬,健康
英検3級,member,一員,社会
英検3級,message,伝言,情報
英検3級,method,方法,学習
英検3級,moment,瞬間,時間
英検3級,natural,自然の,中級重要語
英検3級,nature,自然,自然
英検3級,necessary,必要な,中級重要語
英検3級,neighbor,近所の人,人
英検3級,nervous,緊張した,感情
英検3級,notice,気づく,動作
英検3級,object,物体,生活
英検3級,opinion,意見,中級重要語
英検3級,opportunity,機会,生活
英検3級,ordinary,普通の,形容詞
英検3級,organize,準備する,動作
英検3級,owner,所有者,人
英検3級,patient,患者,健康
英検3級,peace,平和,社会
英検3級,planet,惑星,科学
英検3級,pleasant,楽しい,形容詞
英検3級,pollution,汚染,中級重要語
英検3級,population,人口,中級重要語
英検3級,position,位置,場所
英検3級,possible,可能な,中級重要語
英検3級,prepare,準備する,中級重要語
英検3級,pressure,圧力,状態
英検3級,prize,賞,学校
英検3級,probably,おそらく,中級重要語
英検3級,produce,生産する,中級重要語
英検3級,protect,守る,中級重要語
英検3級,provide,提供する,動作
英検3級,purpose,目的,中級重要語
英検3級,quality,質,状態
英検3級,quite,かなり,副詞
英検3級,realize,気づく,動作
英検3級,reason,理由,生活
英検3級,receive,受け取る,中級重要語
英検3級,record,記録,情報
英検3級,recycle,再利用する,中級重要語
英検3級,reduce,減らす,中級重要語
英検3級,regular,定期的な,形容詞
英検3級,remain,残る,動作
英検3級,repair,修理する,生活
英検3級,reply,返事をする,情報
英検3級,research,研究,中級重要語
英検3級,result,結果,中級重要語
英検3級,review,復習する,学習
英検3級,safety,安全,中級重要語
英検3級,schedule,予定,生活
英検3級,science,科学,科学
英検3級,scientist,科学者,中級重要語
英検3級,search,探す,動作
英検3級,secret,秘密,生活
英検3級,select,選ぶ,動作
英検3級,serious,深刻な,中級重要語
英検3級,share,共有する,動作
英検3級,sightseeing,観光,旅行
英検3級,situation,状況,生活
英検3級,society,社会,中級重要語
英検3級,solution,解決策,中級重要語
英検3級,solve,解決する,動作
英検3級,sound,聞こえる,感覚
英検3級,space,宇宙,科学
英検3級,staff,職員,仕事
英検3級,stage,舞台,文化
英検3級,straight,まっすぐな,形容詞
英検3級,succeed,成功する,動作
英検3級,successful,成功した,中級重要語
英検3級,suggest,提案する,中級重要語
英検3級,support,支える,中級重要語
英検3級,surprise,驚き,感情
英検3級,technology,技術,中級重要語
英検3級,temperature,温度,自然
英検3級,terrible,ひどい,形容詞
英検3級,tradition,伝統,中級重要語
英検3級,traffic,交通,中級重要語
英検3級,training,訓練,学習
英検3級,trouble,困りごと,生活
英検3級,understand,理解する,中級重要語
英検3級,useful,役に立つ,中級重要語
英検3級,usual,いつもの,形容詞
英検3級,valuable,価値のある,形容詞
英検3級,volunteer,ボランティア,中級重要語
英検3級,waste,無駄にする,環境
英検3級,whole,全体の,数量
英検3級,wild,野生の,自然
英検3級,wonder,不思議に思う,感情
英検3級,worry,心配する,感情
英検3級,youth,若者,人
英検準2級,ability,能力,学習
英検準2級,academic,学問の,準二級重要語
英検準2級,access,利用する,準二級重要語
英検準2級,accomplish,成し遂げる,動作
英検準2級,accurate,正確な,形容詞
英検準2級,achieve,達成する,準二級重要語
英検準2級,adjust,調整する,準二級重要語
英検準2級,advantage,利点,準二級重要語
英検準2級,advertise,宣伝する,仕事
英検準2級,affect,影響する,準二級重要語
英検準2級,agriculture,農業,準二級重要語
英検準2級,alternative,代替の,準二級重要語
英検準2級,analysis,分析,準二級重要語
英検準2級,analyze,分析する,学習
英検準2級,announce,発表する,準二級重要語
英検準2級,annual,年1回の,準二級重要語
英検準2級,appeal,訴える,準二級重要語
英検準2級,applicant,応募者,仕事
英検準2級,application,申し込み,準二級重要語
英検準2級,apply,申し込む,仕事
英検準2級,appreciate,感謝する,準二級重要語
英検準2級,approach,取り組み,準二級重要語
英検準2級,appropriate,適切な,形容詞
英検準2級,argument,議論,準二級重要語
英検準2級,arrangement,手配,生活
英検準2級,article,記事,準二級重要語
英検準2級,aspect,側面,準二級重要語
英検準2級,associate,関連づける,準二級重要語
英検準2級,assume,仮定する,思考
英検準2級,atmosphere,大気,自然
英検準2級,authority,権威,準二級重要語
英検準2級,available,利用できる,準二級重要語
英検準2級,average,平均,準二級重要語
英検準2級,awareness,意識,準二級重要語
英検準2級,behavior,行動,社会
英検準2級,benefit,利益,準二級重要語
英検準2級,biodiversity,生物多様性,環境
英検準2級,broadcast,放送する,情報
英検準2級,calculate,計算する,学習
英検準2級,candidate,候補者,社会
英検準2級,capable,能力がある,形容詞
英検準2級,capacity,能力,準二級重要語
英検準2級,career,職業,準二級重要語
英検準2級,category,分類,準二級重要語
英検準2級,challenge,課題,準二級重要語
英検準2級,chemical,化学物質,科学
英検準2級,circumstance,状況,社会
英検準2級,citizen,市民,社会
英検準2級,climate,気候,準二級重要語
英検準2級,collapse,崩壊する,社会
英検準2級,combine,組み合わせる,準二級重要語
英検準2級,commercial,商業の,準二級重要語
英検準2級,commit,約束する,動作
英検準2級,committee,委員会,社会
英検準2級,common,共通の,準二級重要語
英検準2級,communicate,伝える,準二級重要語
英検準2級,community,地域社会,準二級重要語
英検準2級,compete,競争する,スポーツ
英検準2級,complex,複雑な,準二級重要語
英検準2級,concept,概念,準二級重要語
英検準2級,concern,心配,準二級重要語
英検準2級,conclusion,結論,準二級重要語
英検準2級,conference,会議,準二級重要語
英検準2級,confidence,自信,感情
英検準2級,conflict,対立,準二級重要語
英検準2級,conservation,保護,環境
英検準2級,consider,よく考える,準二級重要語
英検準2級,consistent,一貫した,準二級重要語
英検準2級,construction,建設,産業
英検準2級,consume,消費する,生活
英検準2級,consumer,消費者,準二級重要語
英検準2級,contact,連絡,情報
英検準2級,contain,含む,準二級重要語
英検準2級,context,文脈,準二級重要語
英検準2級,contract,契約,準二級重要語
英検準2級,contribute,貢献する,準二級重要語
英検準2級,convenient,便利な,準二級重要語
英検準2級,cooperate,協力する,準二級重要語
英検準2級,corporation,企業,仕事
英検準2級,cost,費用,準二級重要語
英検準2級,costume,衣装,文化
英検準2級,critical,重大な,形容詞
英検準2級,current,現在の,準二級重要語
英検準2級,debate,討論,準二級重要語
英検準2級,decline,減少する,準二級重要語
英検準2級,define,定義する,学習
英検準2級,demand,需要,準二級重要語
英検準2級,demonstrate,示す,準二級重要語
英検準2級,depend,頼る,準二級重要語
英検準2級,describe,説明する,準二級重要語
英検準2級,despite,にもかかわらず,前置詞
英検準2級,detect,見つける,科学
英検準2級,determine,決定する,動作
英検準2級,develop,発達する,準二級重要語
英検準2級,device,装置,技術
英検準2級,disadvantage,不利な点,準二級重要語
英検準2級,disaster,災害,準二級重要語
英検準2級,discuss,議論する,準二級重要語
英検準2級,distribution,分配,社会
英検準2級,document,文書,情報
英検準2級,domestic,国内の,社会
英検準2級,economic,経済の,社会
英検準2級,economy,経済,準二級重要語
英検準2級,effective,効果的な,準二級重要語
英検準2級,efficient,効率的な,準二級重要語
英検準2級,elderly,高齢の,準二級重要語
英検準2級,election,選挙,社会
英検準2級,emergency,緊急事態,安全
英検準2級,emission,排出,環境
英検準2級,emphasize,強調する,準二級重要語
英検準2級,encourage,励ます,準二級重要語
英検準2級,ensure,確実にする,動作
英検準2級,entertainment,娯楽,文化
英検準2級,environmental,環境の,準二級重要語
英検準2級,essential,不可欠な,準二級重要語
英検準2級,estimate,見積もる,数量
英検準2級,evaluate,評価する,準二級重要語
英検準2級,evidence,証拠,準二級重要語
英検準2級,expand,拡大する,準二級重要語
英検準2級,expert,専門家,準二級重要語
英検準2級,explore,探検する,動作
英検準2級,export,輸出する,仕事
英検準2級,facility,施設,社会
英検準2級,factor,要因,学習
英検準2級,financial,金融の,準二級重要語
英検準2級,flexible,柔軟な,形容詞
英検準2級,focus,集中する,動作
英検準2級,foundation,基礎,学習
英検準2級,framework,枠組み,準二級重要語
英検準2級,function,機能,技術
英検準2級,generation,世代,準二級重要語
英検準2級,global,世界的な,準二級重要語
英検準2級,guarantee,保証する,準二級重要語
英検準2級,harvest,収穫,産業
英検準2級,heritage,遺産,文化
英検準2級,household,世帯,生活
英検準2級,identify,特定する,学習
英検準2級,ignore,無視する,動作
英検準2級,impact,影響,準二級重要語
英検準2級,import,輸入する,仕事
英検準2級,increase,増える,準二級重要語
英検準2級,individual,個人,準二級重要語
英検準2級,industry,産業,準二級重要語
英検準2級,influence,影響,準二級重要語
英検準2級,injury,けが,健康
英検準2級,innovation,革新,準二級重要語
英検準2級,instruction,指示,学校
英検準2級,insurance,保険,社会
英検準2級,intellectual,知的な,学習
英検準2級,intend,つもりである,思考
英検準2級,international,国際的な,準二級重要語
英検準2級,interpret,解釈する,学習
英検準2級,investigate,調査する,学習
英検準2級,investment,投資,準二級重要語
英検準2級,issue,問題,準二級重要語
英検準2級,labor,労働,準二級重要語
英検準2級,lack,不足,準二級重要語
英検準2級,landscape,風景,自然
英検準2級,legal,法律の,準二級重要語
英検準2級,literature,文学,文化
英検準2級,maintain,維持する,準二級重要語
英検準2級,major,主要な,準二級重要語
英検準2級,manufacture,製造する,産業
英検準2級,material,材料,準二級重要語
英検準2級,measure,測定する,学習
英検準2級,medical,医療の,健康
英検準2級,mental,精神の,健康
英検準2級,method,方法,準二級重要語
英検準2級,migration,移住,準二級重要語
英検準2級,minimum,最小限,数量
英検準2級,minority,少数派,社会
英検準2級,motivate,動機づける,感情
英検準2級,negative,否定的な,準二級重要語
英検準2級,nutrition,栄養,健康
英検準2級,observation,観察,科学
英検準2級,obtain,得る,動作
英検準2級,occupation,職業,仕事
英検準2級,operate,操作する,技術
英検準2級,opportunity,機会,準二級重要語
英検準2級,organization,組織,準二級重要語
英検準2級,outcome,結果,準二級重要語
英検準2級,participate,参加する,準二級重要語
英検準2級,particular,特定の,形容詞
英検準2級,passenger,乗客,旅行
英検準2級,perform,行う,動作
英検準2級,permit,許可する,社会
英検準2級,perspective,見方,思考
英検準2級,physical,身体の,健康
英検準2級,policy,政策,準二級重要語
英検準2級,potential,可能性,準二級重要語
英検準2級,poverty,貧困,準二級重要語
英検準2級,predict,予測する,準二級重要語
英検準2級,preserve,保存する,準二級重要語
英検準2級,pressure,圧力,準二級重要語
英検準2級,previous,前の,時間
